question,answer
على من ترفع الدعوى الجزائية الخاصة؟,ترفع دعوى الحق الخاص على المتهم إذا كان أهلًا، وعلى الولي أو الوصي إذا كان المتهم ناقص الأهلية، فإن لم يكن للمتهم ولي أو وصي؛ وجب على المحكمة المرفوعة أمامها الدعوى الجزائية أن تقيم عليه وليًا.
كم تبلغ المدة المحددة لإيقاف السير في الدعوى؟,يجوز وقف الدعوى بناء على اتفاق الخصوم على عدم السير فيها مدة لا تزيد على ستة أشهر من تاريخ إقرار المحكمة اتفاقهم، وإذا رأت المحكمة تعليق حكمها في موضوع الدعوى على الفصل في مسألة أخرى يتوقف عليها الحكم، فتأمر بوقف الدعوى، وبمجرد زوال سبب التوقف يكون للخصوم طلب السير في الدعوى.
كم تبلغ رسوم إصدار ترخيص مكتب محاماة أجنبي؟,يبلغ رسم إصدار الترخيص لمكتب المحاماة الأجنبي 2000 ريال، وذلك بناءً على ما ورد في المادة (48/2) من نظام المحاماة
كم تبلغ رسوم تجديد ترخيص مكتب محاماة أجنبي؟,يكون رسم تجديد الترخيص لمكتب المحاماة الأجنبي 1000 ريال، وذلك بناءً على ما ورد في المادة (48/2) من نظام المحاماة
كم تبلغ قيمة التكاليف القضائية لطلب التنفيذ المباشر؟,خمسمائة ريال.
كم تبلغ قيمة التكاليف القضائية لطلب ذي المصلحة الاطلاع على أوراق الدعوى أو سجلاتها الورقية أو الإلكترونية؟,خمسون ريالًا.
كم تبلغ قيمة التكاليف القضائية لطلب ذي المصلحة تسليمه نسخة مصدقة من أوراق الدعوى أو سجلاتها -الورقية أو الإلكترونية- أو الوثائق أو الأوراق التي تحت يد المحكمة؟,مائة ريال.
كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم العامة؟,ثلاثة آلاف ريال.
كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم والدوائر التجارية؟,خمسة آلاف ريال.
كم تبلغ قيمة التكاليف القضائية للدعاوى التي تنظر لدى المحاكم والدوائر العمالية؟,ألفا ريال.
كم تبلغ قيمة التكاليف القضائية للدعاوى الجزائية الخاصة؟,عشرة آلاف ريال.
كم تبلغ قيمة التكاليف القضائية للدعاوى المستعجلة؟,تقدر قيمة التكاليف القضائية للدعاوى المستعجلة بثلاثة آلاف ريال، أيًا كانت المحكمة أو الدائرة التي تنظرها.
كم تبلغ مدة الإفصاح للجهات المختصة أو المشرفة على تسجيل الأموال؟,على جميع الجهات المختصة أو المشرفة على تسجيل الأموال وعلى مدين المدين ومحاسب المدين وموظفيه الإفصاح عن أصول المدين بناء على أمر قاضي التنفيذ خلال مدة لا تتجاوز عشرة أيام من تاريخ إبلاغ تلك الجهات.
كم يبلغ مقدار التكاليف القضائية لطلبات التنفيذ المالية؟,تقدر التكاليف القضائية بنسبة (2%) من قيمة المطالبة على ألا تقل هذه التكاليف عن خمسمائة ريال ولا تزيد على عشرة آلاف ريال.
كم يبلغ مقدار التكاليف القضائية للدعوى إذا كانت قيمة المطالبة أقل من مائة ألف ريال؟,تقدر التكاليف القضائية للدعوى بنسبة (5%).
كم يبلغ مقدار التكاليف القضائية للدعوى إذا كانت قيمة المطالبة مليون ريال فأعلى؟,تقدر التكاليف القضائية للدعوى بنسبة (2%).
كم يبلغ مقدار التكاليف القضائية للدعوى إذا كانت قيمة المطالبة من خمسمائة ألف ريال إلى أقل من مليون ريال؟,تقدر التكاليف القضائية للدعوى بنسبة (3%).
كم يبلغ مقدار التكاليف القضائية للدعوى إذا كانت قيمة المطالبة من مائة ألف ريال إلى أقل من خمسمائة ألف ريال؟,تقدر التكاليف القضائية للدعوى بنسبة (4%).
كيف تنفذ القرارات والأحكام الصادرة في مسائل الأحوال الشخصية بالطرق المقررة في النظام، إذا اقتضى ذلك الحجز على الأموال وبيعها؟,تنفذ الأحكام والقرارات الصادرة في مسائل الأحوال الشخصية بالطرق المقررة في نظام التنفيذ، إذا اقتضى ذلك الحجز على الأموال وبيعها وإذا تضمن التنفيذ دفع أموال بشكل دوري فيجري التنفيذ من خلال ترتيبات تحددها اللائحة.
كيف تنقضي الدعوى الجزائية العامة؟,وفقًا للمادة (٢٢) من نظام الإجراءات الجزائية، تنقضي الدعوى الجزائية العامة في إحدى الحالات الآتية: 1. صدور حكم نهائي. 2. عفو ولي الأمر فيما يدخله العفو. 3. ما تكون التوبة فيه بضوابطها الشرعية مسقطة للعقوبة. 4. وفاة المتهم. ولا يمنع ذلك من الاستمرار في دعوى الحق الخاص.
كيف يتم احتساب التكاليف القضائية إذا انتهت الدعوى بالصلح؟,يتحمل أطراف الدعوى التكاليف القضائية بالتساوي، مالم يتفق على غير ذلك.
كيف يمكن لمن هو دون (18) عامًا الزواج؟,يمنع توثيق عقد الزواج لمن هو دون (ثمانية عشر) عامًا، وللمحكمة أن تأذن بزواج من هو دون ذلك ذكرًا كان أو أنثى إذا كان بالغًا بعد التحقق من مصلحته في هذا الزواج.
ما المقصود بالاختصاص المكاني لدى محكمة التنفيذ؟,يكون الاختصاص المكاني لقاضي التنفيذ – بحسب الحال – كما يأتي: في دائرة المحكمة التي أصدرت السند التنفيذي، في مكان الجهة التي أنشئ المحرر في منطقتها، في موطن المدين، في موطن عقار المدين، أو أمواله المنقولة.
ما المقصود بالسند التنفيذي: (حكم /قرار/ أمر صادر من المحكمة) عند التقدم بطلب تنفيذ مالي؟,هي وثيقة رسمية صادرة من محكمة في دعوى مالية نص حكمها على إلزام بدفع بمبلغ مالي على دفعة واحدة أو عدة دفعات.
ما المقصود بالسند التنفيذي: (حكم محكم مذيل بأمر التنفيذ) عند التقدم بطلب تنفيذ مالي؟,هي وثيقة صادرة من محكم/جهة تحكيم نص حكمها/قرارها على إلزام بدفع بمبلغ مالي على دفعة واحدة أو عدة دفعات مصدقة من محكمة الاستئناف.
ما هو الإجراء المتبع في حال تم التقدم بطلب الاستفادة من خدمات صندوق النفقة وبعد ذلك صدر حكم قضائي بعدم استحقاق النفقة؟,في حال رد دعوى طلب النفقة فإن الصندوق يتوقف عن صرف النفقة للمستفيد، ومطالبة المستفيد برد كامل المبالغ التي صرفت له خلال شهرين من تاريخ الحكم برد الدعوى.
ما هو الإجراء المتخذ في التكاليف القضائية في حال تغير تقدير قيمة الدعوى؟,يتم حساب التكاليف القضائية بناء على تقدير القيمة الجديد.
ما هو الإجراء المتخذ في حق الموظف العام في حال منع التنفيذ أو أعاقه؟,يعاقب الموظف العام ومن في حكمه بالسجن مدة لا تزيد على سبع سنوات إذا منع التنفيذ أو أعاقه، ويعد ذلك جريمة من الجرائم المخلة بالأمانة.
ما هو الطلب العارض؟,لكل من الخصمين تقديم الطلبات العارضة قبل قفل باب المرافعة ويعود هذا الحق لهما متى قررت الدائرة إعادة فتح باب المرافعة، وفقًا للفقرة (١) مادة (٨٢) من اللائحة التنفيذية لنظام المرافعات الشرعية.
ما هي التصرفات التي تتطلب على الولي بموجب صك الولاية الحصول على إذن من المحكمة؟,إذا كان الولي غير الأب، واقتضى الأمر التصرف للقاصر أو الغائب بشراء عقار له أو بيع عقاره أو قسمته أو رهنه أو دمجه أو الاقتراض له أو طلب صرف ماله الذي أودعته المحكمة في البنك المركزي السعودي أو أحد فروعه أو في أحد المصارف في البلد لأي سبب، أو إذا كان المولى عليه طرفًا في الشركات التي يطلب توثيق عقودها أو زيادة رأس مالها; فليس للولي أو الوصي أن يجري أيًّا من تلك التصرفات إلا بعد استئذان المحكمة المختصة، وفقًا للمادة (224) من نظام المرافعات الشرعية.
ما هي الجرائم التي يعاقب عليها بالسجن لسبع سنوات في نظام التنفيذ؟,أ - الامتناع عن تنفيذ الحكم النهائي الصادر في حقه، أو ثبت قيامه بإخفاء أمواله، أو تهريبها، أو امتنع عن الإفصاح عما لديه من أموال. ب - تعمد تعطيل التنفيذ بأن أقام دعوى قصد منها تعطيل التنفيذ. ج - مقاومة التنفيذ، بأن هدد، أو تعدى هو بنفسه - أو بوساطة غيره - على موظف، أو مرخص له يقوم بالتنفيذ، أو قام بأي من ذلك ضـد المنفذ له، وأي فعل آخر غير مشروع قام به بقصد مقاومة التنفيذ. د - الكذب في إقراراته أمام المحكمة، أو الكذب في الإجراءات، أو تقديم بيانات غير صحيحة.
